Tool Box,Tote A,Tote B,Tote C ,Tote D,Tote E
Precision Screwdriver Set,Rivet Box,Polycord Box,Orange Hardstop,Pit Bag,Chain Box
Goo-gone,Pneumatics Hardware Box,Solder Box,Gears Stuff Box,White Board,Plates Stuff Box
Files,Zip Tie Box,Vex Pro Box,Mcmaster box,Staple Bag,Clear Screw Box
Erwin Clamps,Encoders,SAE Tap Set,Red Battery Wire,Staple Gun,Mantis hardware bag
Metal Clamps,Pressure Tape,Spacer Box,Black Battery Wire,Paint brushes,Crappy Drill Bit Set
Flashlight,Hack Saw,Warrior Set,Small pickup hardware bag,Red Fabric,Electrical Stuff box
Craftsman's square,PWM Crimp Tool,Box End Rachets,Wire box,Blue Fabric,Anderson Box
Flathead,Pneumatic Wheels,Compressed Air,Victors,Bumper Bolts,Rag Bag
Phillips,Grease,Tap Fluid,Pneumatic Tubing Bag,Standard,
Icepick,craftsman drill bit set,Caliper,Versas,Power Strips ,
Utility,rivet gun,Blue Rachet Set,Long Pistons,Extension cords,
Deburring tool,Tape Box,,Air Tanks,Mutimeter,
Paper ruler,Gorilla Tape,,Random Sheet Metal ,vise bit,
Loctite,Clear Packing tape,,Sponsor panels,Radio power cord,
Bent Needlenose,Electrical Tape,,Breakers,Ethernet,
Wire Crusher,Electrical Tape,,Pneumatic Tubing Blue and Orange,Ball,
Needlenose,Painter's Tape,,Optical Sensor,Crowbar,
Drill Bit row thing,Crazy glue ,,Large Pickup hardware bag,Crate Screws,
Big Needlenose,Black Rachet Set,,,Pool noodle,
Box Cutter,Drills,,,1x1 tubing,
Wire Stripper,Drill Chargers,,,Gorilla Tape,
Snub-Nose Pliers,,,,Velcro,
Needlenose,,,,Pneumatics plate,
Stab-Stab,,,,CIMs Box,
Chain Breaker,,,,Dry Erase Markers,
SAE Bit Row,,,,Paint,
Snub-Nose Pliers,,,,Nut Bag,
SAE Hex Keys,,,,,
Wire Stripper,,,,,
Snips,,,,,
Blue Vise Grip,,,,,
Mallet,,,,,
Tiny snips,,,,,
Hammer,,,,,
Ruler,,,,,
Measuring Tape,,,,,
Robo-Grip,,,,,
Tiny Tape Measure,,,,,
Aviation Snips,,,,,
Wago,,,,,
Scissors,,,,,
